job_id,title,role_family,company,location,state,remote,is_remote,posted_date,experience_level,salary_min,salary_max,salary_mid,skills,description
J20260205-00020,Python Data Engineer (Infrastructure),Data,Uber,"Dallas, TX",TX,True,True,2026-01-20,Mid,143271,170885,157078,Azure|Data Modeling|Data Warehousing|FastAPI|Git|Kubernetes|OOP|REST APIs|Redis|SQL|Snowflake|System Design|Unit Testing,"We are hiring a Python Data Engineer (Infrastructure) to build and scale production systems. Key technologies include Azure, Data Modeling, Data Warehousing, FastAPI, Git, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00021,Senior Cloud Engineer,Software/Platform,Salesforce,"Austin, TX",TX,True,True,2025-12-30,Senior,156340,216879,186609,AWS|Azure|Docker|GCP|Infrastructure as Code|Kubernetes|Observability|SRE|Terraform,"We are hiring a Senior Cloud Engineer to build and scale production systems. Key technologies include AWS, Azure, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00022,Junior AWS QA Engineer (Streaming),Software/Platform,Amazon,"Dallas, TX",TX,True,True,2026-01-12,Entry,93618,133101,113359,AWS|Azure|CI/CD|Docker|Git|Kubernetes|MongoDB|MySQL|OOP|REST APIs|Redis|System Design|Unit Testing,"We are hiring a Junior AWS QA Engineer (Streaming) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, Git, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00023,Kubernetes MLOps Engineer (ETL),ML/AI,Intuit,"Boston, MA",MA,True,True,2026-01-19,Mid,109585,201765,155675,AWS|Data Modeling|Docker|Infrastructure as Code|Kubernetes|MLOps|MongoDB|Orchestration|Redis|Redshift|SQL,"We are hiring a Kubernetes MLOps Engineer (ETL) to build and scale production systems. Key technologies include AWS, Data Modeling, Docker, Infrastructure as Code, Kubernetes, MLOps. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00024,Principal Azure DevOps Engineer,DevOps/SRE,ServiceNow,"New York, NY",NY,False,False,2026-01-31,Staff,187743,262846,225294,AWS|Azure|Docker|GCP|Infrastructure as Code|Kubernetes|MongoDB|MySQL|Observability|PostgreSQL|Redis|SRE|Terraform,"We are hiring a Principal Azure DevOps Engineer to build and scale production systems. Key technologies include AWS, Azure, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00025,Data Engineer (Product Analytics),Data,Intuit,"Denver, CO",CO,False,False,2026-01-07,Mid,128500,175505,152002,AWS|Apache Airflow|Azure|BigQuery|Data Modeling|Data Warehousing|MongoDB|MySQL|Orchestration|PostgreSQL|Redis|Redshift|SQL|Snowflake,"We are hiring a Data Engineer (Product Analytics) to build and scale production systems. Key technologies include AWS, Apache Airflow, Azure, BigQuery, Data Modeling, Data Warehousing. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00026,Senior Kubernetes Analytics Engineer,Software/Platform,Shopify,"Seattle, WA",WA,False,False,2025-12-31,Senior,156528,204499,180513,Apache Airflow|Azure|BigQuery|Data Modeling|Data Warehousing|Docker|GCP|Kubernetes|MongoDB|MySQL|PostgreSQL|Redshift|SQL|Snowflake,"We are hiring a Senior Kubernetes Analytics Engineer to build and scale production systems. Key technologies include Apache Airflow, Azure, BigQuery, Data Modeling, Data Warehousing, Docker. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00027,Node.js Data Engineer,Data,Airbnb,"Austin, TX",TX,False,False,2025-12-29,Mid,124223,189399,156811,Azure|BigQuery|CI/CD|ETL|Express.js|JavaScript|Kubernetes|MongoDB|MySQL|Orchestration|PostgreSQL|REST APIs|React|Redis|Redshift|SQL|Snowflake|System Design,"We are hiring a Node.js Data Engineer to build and scale production systems. Key technologies include Azure, BigQuery, CI/CD, ETL, Express.js, JavaScript. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00028,Entry-Level QA Engineer (Observability),Software/Platform,Shopify,"Boston, MA",MA,True,True,2026-01-30,Entry,92179,136248,114213,AWS|Azure|CI/CD|Docker|GCP|Git|Kubernetes|MongoDB|MySQL|OOP|PostgreSQL|REST APIs|Redis|System Design|Unit Testing,"We are hiring a Entry-Level QA Engineer (Observability) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, GCP, Git. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00029,Golang AI Engineer (Search),ML/AI,Meta,"Seattle, WA",WA,True,True,2026-01-26,Mid,150581,180640,165610,Azure|Deep Learning|Experiment Tracking|GCP|Git|Golang|Kubernetes|MLOps|Machine Learning|Model Evaluation|MySQL|PostgreSQL|PyTorch|REST APIs|System Design|Unit Testing,"We are hiring a Golang AI Engineer (Search) to build and scale production systems. Key technologies include Azure, Deep Learning, Experiment Tracking, GCP, Git, Golang. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00030,Lead Databricks Platform Engineer (ML Platform),Data,Capital One,"Raleigh, NC",NC,True,True,2026-01-28,Senior,115652,196950,156301,AWS|Apache Spark|Azure|Data Modeling|Databricks|Docker|ETL|GCP|Infrastructure as Code|Kubernetes|MongoDB|Observability|PostgreSQL|PySpark|Redis|SQL|SRE|Terraform,"We are hiring a Lead Databricks Platform Engineer (ML Platform) to build and scale production systems. Key technologies include AWS, Apache Spark, Azure, Data Modeling, Databricks, Docker. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00031,Lead GCP Data Engineer,Data,Databricks,"Seattle, WA",WA,False,False,2026-01-25,Senior,138230,221699,179964,AWS|Apache Airflow|Azure|Data Modeling|Data Warehousing|Docker|ETL|GCP|Kubernetes|MongoDB|MySQL|Orchestration|PostgreSQL|Redis|Redshift|SQL|Snowflake,"We are hiring a Lead GCP Data Engineer to build and scale production systems. Key technologies include AWS, Apache Airflow, Azure, Data Modeling, Data Warehousing, Docker. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00032,Associate Data Engineer (Warehouse),Data,Uber,"Chicago, IL",IL,True,True,2026-01-18,Entry,106745,154929,130837,AWS|Apache Airflow|Azure|BigQuery|Data Modeling|Data Warehousing|Docker|ETL|Kubernetes|MongoDB|PostgreSQL|Redis|SQL|Snowflake,"We are hiring a Associate Data Engineer (Warehouse) to build and scale production systems. Key technologies include AWS, Apache Airflow, Azure, BigQuery, Data Modeling, Data Warehousing. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00033,Machine Learning Engineer (Cloud),ML/AI,Atlassian,"Denver, CO",CO,True,True,2026-01-05,Mid,111916,194205,153060,Azure|Deep Learning|Experiment Tracking|Feature Engineering|GCP|Kubernetes|MLOps|Machine Learning|Model Monitoring|SRE,"We are hiring a Machine Learning Engineer (Cloud) to build and scale production systems. Key technologies include Azure, Deep Learning, Experiment Tracking, Feature Engineering, GCP, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00034,Principal Terraform Security Engineer,Security,Intuit,"Boston, MA",MA,True,True,2025-12-24,Staff,202681,267772,235226,AWS|AppSec|Azure|Docker|GCP|IAM|Infrastructure as Code|Kubernetes|Network Security|OWASP|Observability|SRE|Terraform|Threat Modeling,"We are hiring a Principal Terraform Security Engineer to build and scale production systems. Key technologies include AWS, AppSec, Azure, Docker, GCP, IAM. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00035,Senior MLOps Engineer (Observability),ML/AI,Salesforce,"Chicago, IL",IL,False,False,2026-01-30,Senior,184810,236472,210641,AWS|Azure|Docker|Experiment Tracking|GCP|Infrastructure as Code|Kubernetes|MLOps|Model Monitoring|Observability|SRE|Terraform,"We are hiring a Senior MLOps Engineer (Observability) to build and scale production systems. Key technologies include AWS, Azure, Docker, Experiment Tracking, GCP, Infrastructure as Code. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00036,Senior Platform Engineer (Warehouse),DevOps/SRE,Oracle,"Seattle, WA",WA,True,True,2026-01-05,Senior,151862,217152,184507,AWS|Azure|Docker|GCP|Infrastructure as Code|Kubernetes|MongoDB|MySQL|Observability|PostgreSQL|Redis|SRE|Terraform,"We are hiring a Senior Platform Engineer (Warehouse) to build and scale production systems. Key technologies include AWS, Azure, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00037,MLOps Engineer (Mobile),ML/AI,Airbnb,"Raleigh, NC",NC,False,False,2026-01-09,Mid,137019,198192,167605,AWS|Azure|Docker|Experiment Tracking|GCP|Infrastructure as Code|Kubernetes|MLOps|Model Monitoring|Observability|SRE|Terraform,"We are hiring a MLOps Engineer (Mobile) to build and scale production systems. Key technologies include AWS, Azure, Docker, Experiment Tracking, GCP, Infrastructure as Code. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00038,Senior Java QA Engineer (Warehouse),Software/Platform,Snowflake,"Seattle, WA",WA,False,False,2026-02-03,Senior,131442,198639,165040,AWS|Azure|CI/CD|GCP|Git|JPA/Hibernate|Java|Kubernetes|Microservices|MySQL|OOP|PostgreSQL|REST APIs|Redis|Spring Boot|Unit Testing,"We are hiring a Senior Java QA Engineer (Warehouse) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, GCP, Git, JPA/Hibernate. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00039,Associate Terraform Analytics Engineer (Warehouse),Software/Platform,Snowflake,"Alpharetta, GA",GA,True,True,2026-02-02,Entry,95645,150102,122873,AWS|Apache Airflow|Azure|Docker|ETL|GCP|MongoDB|MySQL|Orchestration|PostgreSQL|Redis|SQL|Snowflake,"We are hiring a Associate Terraform Analytics Engineer (Warehouse) to build and scale production systems. Key technologies include AWS, Apache Airflow, Azure, Docker, ETL, GCP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00040,Principal QA Engineer (Platform),DevOps/SRE,Oracle,"Chicago, IL",IL,False,False,2026-01-14,Staff,159164,241683,200423,AWS|Azure|CI/CD|Docker|GCP|Git|Kubernetes|MongoDB|MySQL|OOP|PostgreSQL|REST APIs|Redis|System Design|Unit Testing,"We are hiring a Principal QA Engineer (Platform) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, GCP, Git. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00041,Golang QA Engineer (Distributed Systems),Software/Platform,Meta,"Austin, TX",TX,True,True,2026-02-04,Mid,110013,173632,141822,AWS|Azure|CI/CD|Docker|GCP|Golang|Kubernetes|MongoDB|OOP|PostgreSQL|Redis|System Design|Unit Testing|gRPC,"We are hiring a Golang QA Engineer (Distributed Systems) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, GCP, Golang. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00042,Lead Kafka Frontend Engineer,Software/Platform,ServiceNow,"Alpharetta, GA",GA,True,True,2026-01-26,Senior,110478,195885,153181,AWS|Data Warehousing|Docker|ETL|Git|HTML|Kubernetes|OOP|REST APIs|SQL|TypeScript|Unit Testing,"We are hiring a Lead Kafka Frontend Engineer to build and scale production systems. Key technologies include AWS, Data Warehousing, Docker, ETL, Git, HTML. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00043,AWS AI Engineer,ML/AI,Atlassian,"Dallas, TX",TX,False,False,2026-01-14,Mid,133780,184074,158927,AWS|Azure|Docker|Experiment Tracking|Feature Engineering|GCP|Kubernetes|MLOps|Machine Learning|Model Evaluation|Model Monitoring|PyTorch|TensorFlow,"We are hiring a AWS AI Engineer to build and scale production systems. Key technologies include AWS, Azure, Docker, Experiment Tracking, Feature Engineering, GCP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00044,AI Engineer,ML/AI,NVIDIA,"Alpharetta, GA",GA,False,False,2026-01-21,Mid,143477,180679,162078,AWS|Azure|Deep Learning|Docker|Feature Engineering|GCP|MLOps|Machine Learning|Model Monitoring|TensorFlow,"We are hiring a AI Engineer to build and scale production systems. Key technologies include AWS, Azure, Deep Learning, Docker, Feature Engineering, GCP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00045,Principal Computer Vision MLOps Engineer (Growth),ML/AI,Netflix,"Denver, CO",CO,True,True,2026-01-10,Staff,213852,254702,234277,AWS|Azure|Computer Vision|Deep Learning|Docker|Experiment Tracking|Feature Engineering|Infrastructure as Code|Kubernetes|Model Evaluation|Model Monitoring|Observability|OpenCV|PyTorch|SRE|Terraform,"We are hiring a Principal Computer Vision MLOps Engineer (Growth) to build and scale production systems. Key technologies include AWS, Azure, Computer Vision, Deep Learning, Docker, Experiment Tracking. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00046,DevOps Engineer (APIs),DevOps/SRE,IBM,"Atlanta, GA",GA,False,False,2026-01-17,Mid,130276,183541,156908,AWS|Azure|Docker|GCP|Infrastructure as Code|Kubernetes|MongoDB|MySQL|Observability|PostgreSQL|Redis|SRE|Terraform,"We are hiring a DevOps Engineer (APIs) to build and scale production systems. Key technologies include AWS, Azure, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00047,Junior Automation Engineer (Warehouse),Software/Platform,Uber,"San Francisco, CA",CA,False,False,2026-01-20,Entry,85086,136688,110887,AWS|Azure|CI/CD|Docker|GCP|Git|Kubernetes|MongoDB|MySQL|OOP|PostgreSQL|REST APIs|Redis|System Design|Unit Testing,"We are hiring a Junior Automation Engineer (Warehouse) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, GCP, Git. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00048,QA Engineer (Observability),Software/Platform,Capital One,"Atlanta, GA",GA,False,False,2026-01-22,Mid,116738,158054,137396,AWS|Azure|CI/CD|Docker|GCP|Git|Kubernetes|MongoDB|MySQL|OOP|PostgreSQL|REST APIs|Redis|System Design|Unit Testing,"We are hiring a QA Engineer (Observability) to build and scale production systems. Key technologies include AWS, Azure, CI/CD, Docker, GCP, Git. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00049,Frontend Engineer (APIs),Software/Platform,Oracle,"Raleigh, NC",NC,True,True,2026-02-02,Mid,123349,178114,150731,CI/CD|CSS|Git|HTML|JavaScript|OOP|REST APIs|React|System Design|TypeScript|Unit Testing,"We are hiring a Frontend Engineer (APIs) to build and scale production systems. Key technologies include CI/CD, CSS, Git, HTML, JavaScript, OOP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00050,React QA Engineer,Software/Platform,Uber,"Denver, CO",CO,True,True,2026-01-14,Mid,138909,183813,161361,CI/CD|CSS|Git|HTML|JavaScript|OOP|REST APIs|React|System Design|TypeScript|Unit Testing,"We are hiring a React QA Engineer to build and scale production systems. Key technologies include CI/CD, CSS, Git, HTML, JavaScript, OOP. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00051,Entry-Level Terraform Full Stack Engineer (ETL),Software/Platform,Amazon,"San Francisco, CA",CA,True,True,2026-01-19,Entry,101598,134903,118250,AWS|Apache Airflow|Azure|BigQuery|Data Modeling|ETL|GCP|Kubernetes|MongoDB|MySQL|Orchestration|Redis|Redshift|Snowflake,"We are hiring a Entry-Level Terraform Full Stack Engineer (ETL) to build and scale production systems. Key technologies include AWS, Apache Airflow, Azure, BigQuery, Data Modeling, ETL. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00052,Lead Cloud Engineer (Warehouse),Software/Platform,Block,"Dallas, TX",TX,False,False,2026-01-29,Senior,171123,189513,180318,AWS|Azure|Docker|GCP|Infrastructure as Code|Kubernetes|Observability|SRE|Terraform,"We are hiring a Lead Cloud Engineer (Warehouse) to build and scale production systems. Key technologies include AWS, Azure, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00053,Entry-Level DevOps Engineer,DevOps/SRE,Apple,"Boston, MA",MA,False,False,2026-01-08,Entry,86005,163673,124839,AWS|Azure|Docker|GCP|Infrastructure as Code|Kubernetes|MongoDB|MySQL|Observability|PostgreSQL|Redis|SRE|Terraform,"We are hiring a Entry-Level DevOps Engineer to build and scale production systems. Key technologies include AWS, Azure, Docker, GCP, Infrastructure as Code, Kubernetes. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00054,Associate Databricks Data Engineer (Security),Data,Microsoft,"San Jose, CA",CA,True,True,2026-02-03,Entry,87336,146038,116687,AWS|Apache Airflow|AppSec|Azure|Data Modeling|Databricks|ETL|Infrastructure as Code|Kubernetes|MySQL|OWASP|Observability|PostgreSQL|PySpark|Redis|SRE|Terraform|Threat Modeling,"We are hiring a Associate Databricks Data Engineer (Security) to build and scale production systems. Key technologies include AWS, Apache Airflow, AppSec, Azure, Data Modeling, Databricks. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00055,Entry-Level Python AI Engineer,ML/AI,Stripe,"San Jose, CA",CA,True,True,2026-02-01,Entry,119471,169402,144436,AWS|Docker|FastAPI|Feature Engineering|Kubernetes|Machine Learning|Model Evaluation|Model Monitoring|MongoDB|MySQL|OOP|PyTorch|REST APIs|Redis|System Design|Unit Testing,"We are hiring a Entry-Level Python AI Engineer to build and scale production systems. Key technologies include AWS, Docker, FastAPI, Feature Engineering, Kubernetes, Machine Learning. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
J20260205-00056,MLOps Engineer,ML/AI,Snowflake,"Dallas, TX",TX,False,False,2026-01-05,Mid,115353,182420,148886,AWS|Azure|Docker|Experiment Tracking|GCP|Infrastructure as Code|Kubernetes|MLOps|Model Monitoring|Observability|SRE|Terraform,"We are hiring a MLOps Engineer to build and scale production systems. Key technologies include AWS, Azure, Docker, Experiment Tracking, GCP, Infrastructure as Code. You will collaborate across engineering teams, ship reliably, and own end-to-end delivery."
